"","participant","list","gender","age","itemNr","ID","expression","response"
"406","11","AB","f","35+",6,"haimete1","haimete",4
"407","11","AB","f","35+",7,"hecha2","hecha",4
"408","11","AB","f","35+",8,"mombeu1","mombeu",3
"409","11","AB","f","35+",9,"topa2","topa",5
"410","11","AB","f","35+",10,"controlA2","control",3
"411","11","AB","f","35+",11,"hechauka1","hechauka",5
"412","11","AB","f","35+",12,"kuaa2","kuaa",3
"413","11","AB","f","35+",13,"cos1","cos",3
"414","11","AB","f","35+",14,"hendu2","hendu",3
"415","11","AB","f","35+",15,"nte1","nte",5
"416","11","AB","f","35+",16,"juhu2","juhu",3
"417","11","AB","f","35+",17,"hechakuaa1","hechakuaa",5
"418","11","AB","f","35+",18,"hei2","hei",5
"419","11","AB","f","35+",19,"NRRC1","NRRC",5
"420","11","AB","f","35+",20,"controlA3","control",5
"421","11","AB","f","35+",21,"controlB1","control",3
"423","11","AB","f","35+",23,"moa1","moa",3
"424","11","AB","f","35+",24,"possNP2","possNP",5
"425","11","AB","f","35+",25,"kuaauka1","kuaauka",5
"426","11","AB","f","35+",26,"haimete2","haimete",5
"427","11","AB","f","35+",27,"hecha1","hecha",5
"428","11","AB","f","35+",28,"mombeu2","mombeu",5
"429","11","AB","f","35+",29,"topa1","topa",3
"430","11","AB","f","35+",30,"controlB2","control",3
"431","11","AB","f","35+",31,"hechauka2","hechauka",5
"432","11","AB","f","35+",32,"kuaa1","kuaa",5
"433","11","AB","f","35+",33,"cos2","cos",5
"434","11","AB","f","35+",34,"hendu1","hendu",5
"435","11","AB","f","35+",35,"nte2","nte",5
"436","11","AB","f","35+",36,"juhu1","juhu",3
"437","11","AB","f","35+",37,"hechakuaa2","hechakuaa",5
"438","11","AB","f","35+",38,"hei1","hei",3
"439","11","AB","f","35+",39,"NRRC2","NRRC",5
"440","11","AB","f","35+",40,"controlB3","control",1
"441","12","BA","f","35+",1,"controlA1","control",3
"442","12","BA","f","35+",2,"vya1","vya",5
"443","12","BA","f","35+",3,"moa2","moa",3
"444","12","BA","f","35+",4,"possNP1","possNP",5
"445","12","BA","f","35+",5,"kuaauka2","kuaauka",5
"446","12","BA","f","35+",6,"haimete1","haimete",1
"447","12","BA","f","35+",7,"hecha2","hecha",5
"448","12","BA","f","35+",8,"mombeu1","mombeu",5
"449","12","BA","f","35+",9,"topa2","topa",5
"450","12","BA","f","35+",10,"controlA2","control",5
"451","12","BA","f","35+",11,"hechauka1","hechauka",5
"452","12","BA","f","35+",12,"kuaa2","kuaa",5
"453","12","BA","f","35+",13,"cos1","cos",5
"454","12","BA","f","35+",14,"hendu2","hendu",5
